original,renamed_to,folder
20-005 A01-00 Outboard Profile  Hold Plan (shts 1-2).pdf,GeneralArrangement_MBB_A01OutboardProfileHoldPlan_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/Hull Schematics
20-005 A01-01 Outboard Profile & Hold Plan (shts 1-2).pdf,GeneralArrangement_MBB_A01OutboardProfileHoldPlan_DWG_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 A02-02 General Arrangements-GA.pdf,GeneralArrangement_MBB_A02GeneralArrangementsGa_DWG_Rev2.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/Hull Schematics
20-005 A02-0P General Arrangements GA (1).pdf,GeneralArrangement_MBB_A02GeneralArrangementsGa_DWG_RevP.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 A03-01 Machinery Arrangement (shts 1-6).pdf,GeneralArrangement_MBB_A03MachineryArrangement_DWG_Rev1.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 A03-0P Machinery Arrangement (shts 1-6)(1).pdf,GeneralArrangement_MBB_A03MachineryArrangement_DWG_RevP.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 A05-00 Safety Equipment Plan (shts 1-2).pdf,GeneralArrangement_MBB_A05SafetyEquipmentPlan_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 A06-3 Fire Equipment Plan.pdf,GeneralArrangement_MBB_A06FireEquipmentPlan_DWG_Rev3.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/FIFI System
20-005 A12-00 Navigation Light Arrangement SHT 1 (1).pdf,GeneralArrangement_MBB_A12NavigationLightArrangement_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
20-005 A16-00 Molded Line Convention SHEET 1 (1).pdf,GeneralArrangement_MBB_A16MoldedLineConvention_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents/Hull Schematics
20-005 A17-00 Navigation Visibility Plan (shts 1-2).pdf,GeneralArrangement_MBB_A17NavigationVisibilityPlan_DWG_Rev0.pdf,/Users/davebarber/Library/CloudStorage/GoogleDrive-dave.safeharbour@gmail.com/My Drive/Vessel Maintenance System Documents
